전시 항목,설명
토기,"토기는 오랜 역사의 산물이다. 토기는 거의 모든 가정에서 사용되었기 때문에 대량으로 제작되었다. 이러한 이유로 많은 양의 토기가 발굴되고, 박물관 전시실에서 자주 만나볼 수 있다. 토기는 흙을 빚어 모양을 만든 후, 불에 구워 단단하게 만든 그릇이다. 이는 인류가 최초로 원재료의 성질을 변화시키는 경험이 담긴 중요한 발명품으로, 자연 자원을 활용하는 새로운 방식을 터득하는 데 큰 역할을 했다. 이로 인해 토기 제작 기술은 문명의 발전에 크게 기여했다. 토기는 주로 음식물을 저장하거나 조리하는 용도로 사용되었으며, 종교적 의식, 제사, 또는 장식용으로도 제작되었다. 지역에 따라 다양한 형태와 무늬가 나타나며, 이러한 특성 덕분에 토기는 각 지역의 생활 방식과 문화를 이해하는 주요한 고고학적 자료로 평가된다. 토기를 통해 우리는 과거의 일상생활, 신앙, 그리고 그들의 미적 감각을 엿볼 수 있다."
돌칼,청동기 시대에 쓰인 석기 칼.
돌도끼,청동기 시대에 쓰인 석기 도끼.
독널,"독널무덤은 독널에 시신을 안치하는 매장 방법으로 부여 송국리유적에서 발견되는 독널무덤은 여러 기가 원형의 무덤 구덩을 파고, 일상생활에서 사용하였던 '송국리식' 토기를 비스듬히 세운 후, 그 위에 납작 돌을 덮은 형태이다. 독널 바닥 주앙에는 1개의 구멍이 뚫려 있다. 이는 물이나 습기가 쉽게 빠져나가게 하기 위하여 만든 구멍이거나 혹은 널이 갖는 상징적인 의미일 가능성도 있다. 독널 안에는 벼옥제 대롱옥을 꺼묻거리로 넣은 것도 있다. 송국리의 독무덤은 독널의 크기가 작기 때문에 어린 아이를 위한 것이거나 또는 성인이 죽은 이후에 뼈만 추려서 매장한 것으로 추정된다."
송국리식토기,"부여 송국리 유적은 청동기시대 중기의 대표적인 취락 유적으로 평면형태가 원형을 이루고 움집 중앙에 타원 모양의 구덩이가 있는 송국리식 집자리, 송국리식토기, 석기 등의 출현과 집약적인 벼농사에 의해 정착된 농경사회의 형성 등의 특성을 지녀 '송국리형문화'라고 부른다. 송국리식토기는 납작바닥에 작은 굽을 형성하고 계란모양의 배부른 몸통의 민무늬토기로, 짧은 입술부분이 밖으로 바라진 특징을 가지고 있다. 또한 송국리식토기 중에는 일부 바닥에 구멍을 뚫어 독널로 사용하였다."
민무늬토기,문양이 없거나 적은 청동기시대 토기.
반달돌칼,청동기 시대에 농작물 수확을 위해 쓰인 석기 칼.
사리기(외호),"사리를 봉안하기 위해 가장 바깥에 놓인 원통형 용기. 내부의 사리병을 보호하고 의례적 격식을 갖추기 위한 외호로, 단정한 비례와 뚜껑 꼭지가 특징이다."
사리병(내호),외호 안에 들어가는 금속제 병 형태의 용기. 사리를 직접 담거나 더 작은 병을 다시 안치하는 중첩 구조로 제작되었다.
소형 사리병,"사리 일체의 가장 안쪽에 위치하는 소형 용기. 소량의 사리 또는 향·진언 등을 봉안하며, 외호?내호?소호로 이어지는 신앙적 질서를 보여준다."
